Article Title,Author Keywords,Keywords Plus,Abstract
Big Data and The Commoditization of Analytics: Engaging First-Year Business Students with Analytics,Data Analytics; Business Analytics; SAS; Hands-on Training; Teaching; Business Education,INTELLIGENCE,"The age of data analytics requires data scientists across a wide range of business disciplines with deep knowledge of how to manage and analyse vast amounts of data to support decision-making. As a result, new analytical tools are being taught in the Management Information Systems (MIS) or business analytics (BA) programs to foster students' development of this critical competency. Three waves of analytics tools are considered from an experiential perspective including how to introduce analytics to first-year business students using an advanced data analytics software package with multiple techniques and data flow interface. SAS Enterprise Miner is used to teach technical topics and perform business-centric data analytics. An innovative exercise is designed in such a way that it guides first-year business students through a learning analytics journey to motivate them to understand the notion of data analytics and to develop skills around this emerging area without delving too much into extraneous technical details. A post-course survey indicated that the exercise helped students understand the opportunities as well as the challenges in doing analytics."
Learning Analytics and Software Engineering Competences,e-CF framework; 'Big Data'; Study progress; University Information System; Knowledge discovery,,"This paper examines some issues and questions regarding the use of Learning Analytics (LA) in the measurement, collection, analysis, and reporting of data related to Software Engineering (SE) competences obtained by master students at a university. The paper's authors review some results of iSECRET Project with the goal of introducing Data Mining approach for better control of the teaching process based on remote competences evaluation. This shift gave the opportunity to apply 'business intelligence' techniques to educational data. The research focuses on progress and professional standards for accountability systems used in Software Engineering Master Program with an emphasis on professional competences defined by e-CF Framework. The authors pay particular attention to the information infrastructure and mathematical background needed to conduct effective Learning Analytics at SE Master Program. Accordingly, the paper attempts to develop an original mathematical model was done. The approach is based on the pilot remote measurement of the components of competences using SECEIP Portal. The developed technique of using Learning Analytics for measuring the competences at SE Master program may be used for reengineering of Legacy University Management Information Systems and University executive staff training."
"Learning Analytics: at the Nexus of Big Data, Digital Innovation, and Social Justice in Education",Learning analytics; Social justice; Digital innovation; Educational technology; Personalized learning; Applications,CLASS-SIZE; ACHIEVEMENT GAPS; STUDENT PERFORMANCE; CLASSROOM; SCIENCE; GENDER,"We are still designing educational experiences for the average student, and have room to improve. Learning analytics provides a way forward. This commentary describes how learning analytics-based applications are well positioned to meaningfully personalize the learning experience in diverse ways. In so doing, learning analytics has the potential to contribute to more equitable and socially just educational outcomes for students who might otherwise be seen through the lens of the average student. Utilizing big data, good design, and the input of the stakeholders, learning analytics techniques aim to develop applications for the sole purpose of reducing the classroom size to 1. Over time, these digital innovations will enable us to do away with a model of education that teaches toward the non-existent average student, replacing it with one that is more socially just-one that addresses the individual needs of every student."
SOFTWARE ARCHITECTURE OF SEMANTIC RECOMMENDATION ENGINE BASED ON DATA ANALYSIS IN LEARNING MANAGEMENT SYSTEMS,semantic recommendation; LMS; big data; data analysis; resource annotation; learning analytics; gaming analytics,,"The paper presents an approach and software architecture for semantic recommendation of different types of learning resources using learning and gaming analytics of big data produced by modern e-learning platforms and educational games. In order for the system to provide semantic recommendation, the available information for each learner would be used, as well as aggregated statistics on the behaviour of a group of learners. The information will be extracted from the database and through machine learning techniques, the system will analyse and generate personal recommendations. On the other side to achieve, semantic search of resources containing materials related to the search term from the subject area, it will use ontology for the concepts and relationships between them in the subject area in which the educational platform is specialized."
Proposed 4SM Model for Indian Education System Implementing Big Data Analytics and Blended Learning Methods,big data; blended learning; education; learning analytics; smart education,,"With the technology at the center of much uproar and improvising these days, the application of big data and blended learning in the current Indian education system is the need of the hour. It has been observed that the data is growing at a fast pace, therefore there must be certain techniques which will help to improve the conventional teaching methods in order to tackle with the young minds curiosities. To address the issue, a new educational model called 4-Step-Model is proposed. It can be used in parallel that support both the online and traditional face-to-face learning. Model includes- Planning, Modeling, Implementation and Testing phase. It implements big data analytics and blended learning methods to access the technology usage. Utilizes advanced analytics method combining learning analytics and blended learning techniques aiming to enhance the quality of education. The potential outcome of this model will be improved results in the learning behavior of a student such as better performance, enhanced learning effect, and advanced growth rates. This underlines the need and significance of 4SM as an educational model with the talent already in the hands of an educator and learner that can be used to incorporate technology in the educational bodies."
Measuring Engagement to Assess Performance of Students in Distance Learning,Data Analytics; Learning Analytics; Educational Data Mining; Distance Learning; Online Discussion,ANALYTICS,"Organizations continuously invest in the analysis of accumulated data by linking their exploitation to more effective decision making. Higher education and especially distance learning as a large data tank, follows the technological and financial needs to involve more flexible data analysis environments and better data-informed decision capabilities. Shrinking public subsidies drives higher education to form a more competitive learning environment. Satisfactory user experience and personalized services require a quantitative and qualitative analysis of students' daily action in learning environments. The increasing adoption of Learning Analytics (LA) and Educational Data Mining (EDM) push the development of novel approaches and advancements in education sector. At the same time, the rapid disclosure of hidden knowledge and the immediate presentation of results to optimize personalized decision making is a challenge for the competitiveness of distance learning. The objective of this study is the analysis of processes, technologies and resources used in an annual module at the Hellenic Open University to provide stakeholders with the visibility of interactions and hidden value in students' interactions. LA technologies are used on large set of data that has been collected by a Moodle platform and carefully analyzed. Students' logins, replies and quizzes are blended with the average grade of the main written exercises during the academic year. The contribution of this work is the useful observations from the students' educational on-line activities as predictive factors for their academic performance."
University Teachers' and Students' Expectations on Learning Analytics,learning analytics; qualitative analysis; big data; small data; scenario-based approach; contemporary learning approach,,"Learning analytics (LA) is a promising tool to support learning and retention in studies; so far, many applications have been developed to make use of big data saved automatically while using online learning management systems. However, it is not clear how different applications support the contemporary learning approach or how they are valued by both teachers and students. Therefore, a qualitative study was conducted to explore university teachers' and students' expectations on LA. Several scenarios were provided to them in order to feed their ideas about the potential of LA. The results were linked to the characteristics of the contemporary learning approach. This showed that while self-regulation is the most often supported objective enhanced by LA, collaboration skills and subjective well-being need much more attention. It was also found that students were more positive than teachers in starting to use LA and teachers' opinions varied greatly."
"Mapping the Landscapes, Hotspots and Trends of the Social Network Analysis Research from 1975 to 2017",Social network analysis; Bibliometric; Research hotspots,CENTRALITY,"A Bibliometric analysis was applied in this paper to quantitatively evaluate the social network analysis research from 1975 to 2017 based on 7311 bibliographic records collected from the Science Citation Index (SCI) database. Firstly, a comprehensive analysis was conducted to reveal the current landscapes such as scientific outputs, international collaboration, subject categories, and research performances by individuals, we then use innovative methods such as Burst Detection, Referenced Publication Years Spectroscopy and Keyword Semantic Clustering to provide a dynamic view of the evolution of social network analysis research hotpots and trends from various perspectives. Results shows that social network analysis research has developed rapidly in the past four decades and is in the growth period with a maturity of 50.00%, the total of 7311 articles cover 120 countries (regions) and the top five most productive countries are USA, England, China, Canada and Germany. Among the 1181 major journal related to social network analysis, University of Illinois, University of Sydney and Carnegie Mellon University ranked as the top three. In addition burst keywords such as Knowledge Management, Centrality, Modularity, Community, Link Prediction, Learning Analytics and Big Data demonstrate the trends of this field. The result provides a dynamic view of the evolution of Social Network Analysis research landscapes, hotspots and trends from various perspectives which may serve as a potential guide for future research."
ANALYSIS OF ICT STUDENTS' LMS ENGAGEMENT AND SUCCESS,Academic success; educational data mining; learning analytics; log file analysis; students' performance,MEDIATED COMMUNICATION; GENDER-DIFFERENCES; ACHIEVEMENT,"Big data and analytics are shaping the future of higher education. Their role is significant in creating guidelines for reform activities and in assisting educators, students, and administrators in improving teaching and learning. This paper tackles one aspect of this phenomenon. The aim of this study is to examine whether and to what extent students activity at the Learning Management System (LMS) can be a predictor of academic success. Log file analysis is performed from a blended course in the field of Information Communication Technology (ICT). Results indicated no significant correlation between students' behavior and grade attitudes and participation could be identified. However, differences between male and female students are identified."
Data Mining and Machine Learning in Education with Focus in Undergraduate CS Student Success,STEM student retention; graduation pathways; educational data mining; graph data mining,,"Computer science (CS) enrollments are at an all-time high, [1] and successful undergraduate CS graduations are indisputably important. With a student population of approximately 51,000, Georgia State University is a USA based state university which is diverse and forms a rich big data footprint as students navigate pathways to graduation. Quoted in a July 2017 article from HigherEd.com, Georgia State's extensive predictive analytics efforts are leading to better grades and student retention - and more minorities graduating from STEM programs. This doctoral project builds upon current data mining and modeling, machine learning applications, and learning analytics for predicting student success that is beyond retention. Gaining knowledge of CS student learning, developing better alerting models for success, and discovering behavioral indicators from learning analytics reporting is the goal of this research. Using this knowledge as evidence based data for improving the CS student experience will aid in performance improvements and increase pathways to graduation. My supporting research project is building CS student datasets to represent the student as directed graphical models, investigating their relationships using machine learning frameworks, and complex mathematical computations (tensors or gradient boosting) along with graph data mining techniques."
A Framework for Big Data Analysis in Smart Cities,Big data; E-learning; Smart learning; Smart systems; Smart cities; Learning Analytics; Internet of Things,,"Due to the rapid change in technologies, new data forms exist which lead to a huge data size on the internet. As a result, some learning platforms such as e-learning systems must change their methodologies for data processing to be smarter. This paper proposes a framework for smoothly adapt the traditional e-learning systems to be suitable for smart cities applications. Learning Analytics (LA) has turned into a noticeable worldview with regards to instruction of late which embraces the current progressions of innovation, for example, cloud computing, big data processing, and Internet of Things. LA additionally requires a concentrated measure of preparing assets to create applicable investigative outcomes. Be that as it may, the customary methodologies have been wasteful at handling LA difficulties."
Learning As It Happens: A Decade of Analyzing and Shaping a Large-Scale Online Learning System,Adaptive learning; educational games; exploring quality of fit; adaptive item selection; evaluation of CAL systems,,"With the advent of computers in education, and the ample availability of online learning and practice environments, enormous amounts of data on learning become available. The purpose of this paper is to present a decade of experience with analyzing and improving an online practice environment for math, which has thus far recorded over a billion responses. We present the methods we use to both steer and analyze this system in real-time, using scoring rules on accuracy and response times, a tailored rating system to provide both learners and items with current ability and difficulty ratings, and an adaptive engine that matches learners to items. Moreover, we explore the quality of fit by means of prediction accuracy and parallel item reliability. Limitations and pitfalls are discussed by diagnosing sources of misfit, like violations of unidimensionality and unforeseen dynamics. Finally, directions for development are discussed, including embedded learning analytics and a focus on online experimentation to evaluate both the system itself and the users' learning gains. Though many challenges remain open, we believe that large steps have been made in providing methods to efficiently manage and research educational big data from a massive online learning system."
Developing and rewarding teachers as educators and scholars: remarkable progress and daunting challenges,,HEALTH-PROFESSIONS EDUCATION; US MEDICAL-SCHOOLS; FACULTY-DEVELOPMENT; ACADEMIC MEDICINE; IMPLEMENTATION SCIENCE; TEACHING EFFECTIVENESS; BIG DATA; COMPENSATION; COMPETENCES; PROMOTION,"ContextThis article describes the scholarly work that has addressed the fifth recommendation of the 1988 World Conference on Medical Education: Train teachers as educators, not content experts alone, and reward excellence in this field as fully as excellence in biomedical research or clinical practice'. ProgressOver the past 30 years, scholars have defined the preparation needed for teaching and other educator roles, and created faculty development delivery systems to train teachers as educators. To reward the excellence of educators, scholars have expanded definitions of scholarship, defined educator roles and criteria for judging excellence, and developed educator portfolios to make achievements visible for peer review. Despite these efforts, the scholarship of discovery continues to be more highly prized and rewarded than the scholarship of teaching. These values are deeply embedded in university culture and policies. ChallengesTo remedy the structural inequalities between researchers and educators, a holistic approach to rewarding the broad range of educational roles and educational scholarship is needed. This requires strong advocacy to create changes in academic rewards and support policies, provide a clear career trajectory for educators using learning analytics, expand programmes for faculty development, support health professions education scholarship units and academies of medical educators, and create mechanisms to ensure high standards for all educators. The authors describe scholarly research and institutional changes designed to develop and reward teachers as educators and scholars but assert that challenges remain to treat educators as equitably as researchers."
Language E-learning based on Learning Analytics in Big Data Era,Big Data; learning analytics; language E-learning,,"Language E-learning, an online language learning mode, completely transforms the traditional learning and teaching mode. However, with the coming of Big Data era, it not only enjoys some benefits, but also is confronted with great challenges. The article first concludes the reforms Big Data brought to the world, and then introduces the definition, key elements, the applying model, main analyzing methods and tools of learning analytics. Finally, the article fully shows the implementation of learning analytics to the study of language E-learning. Through the study of learning analytics, the designer of Language E-learning can learn the learners' learning behaviors and provide the efficient learning material, tools and systems."
Learning with Big Data Technology: The Future of Education,Big Data; Education; Data mining; Learning analytics; e-Learning,,"The use of Big Data systems in the field of education allows to envisage new approaches and new learning contexts. Indeed, the rapid emergence of the new e-learning platforms have been presented in many interests. However, the quality of the teaching service rendered depends on the capacity of the learning approaches to be provided to learners, content and learning path tailored to their needs. In this paper, we will present how Big Data helps to solve education issues through reaching the objective of learning. Then, we will introduce some opportunities of Big Data analytics to develop the efficiency and effectiveness of students learning and maximize their knowledge retention. Finally, our research method show that students can generate personalized activities and offer academic advising. Big Data can expose the capabilities of learners, predict their future performances and offer assistance for educational organizations to make strategic decisions."
Data Power in Education: Exploring Critical Awareness with the Learning Analytics Report Card,learning analytics; education; data; power; black boxing; computational analysis,BIG DATA,"The burgeoning field of learning analytics (LA) is gaining significant traction in education, bolstered by the increasing amounts of student data generated through educational software. However, critical discussions of LA are in short supply. Drawing on work in the cultural studies of data and critical algorithm studies, this paper begins by examining three central issues: the distancing and black boxing of LA disciplinary practices, the mythologizing of objective data, and the concern for future prediction. The second section describes the design and implementation of the Learning Analytics Report Card (LARC), a pilot project that sought to develop experimental approaches to LA. As such, rather than seeking to simply produce analytics, the LARC attempted to foster critical awareness of computational data analysis among teachers and learners."
Who prophets from big data in education? New insights and new challenges,Data-driven assessment; educational data mining; ethics; personalized learning; policy; privacy,TOOL,"Big Data can radically transform education by enabling personalized learning, deep student modeling, and true longitudinal studies that compare changes across classrooms, regions, and years. With these promises, however, come risks to individual privacy and educational validity, along with deep policy and ethical issues. Education is largely a public service targeted primarily at minors. Participation is compulsory in most advanced societies, and in many ways, it is seen as a fundamental right. Academic success is necessary for advancement, but students often have little individual say in the process. For these reasons, it poses unique policy challenges that do not arise in other domains. Big data requires deep and constant monitoring of students, classes, and instructors. Who consents to such monitoring, and how will student or instructor privacy be preserved? Data also has immense commercial value. Who owns it? And who is permitted to profit from its use? In this article, I will discuss some of these unique issues, and I will outline some potential approaches that may be taken to address them."
Big data and the liberal conception of education,Big data; civic education; individuality; liberalism,EQUALITY,"This article develops a perspective on big data in education, drawing on a broadly liberal conception of education's primary purpose. We focus especially on the rise of so-called learning analytics and the associated rise of digitization, which we evaluate according to the liberal view that education should seek to cultivate individuality and proceed partly by way of experimentation and with an emphasis on civic education. Our argument is not that the use of big data is wholly out of place in education. Indeed, it might have significant value in pursuit of certain educational aims. Nevertheless, the liberal conception shows how education is distinct from other domains in which big data are being applied, in ways that suggest that considerable caution must be exercised when they are used in educational contexts."
Educational justice and big data,Bias; big data; discrimination; distributive justice; educational equality; peer effects; positional goods,EQUALITY,"This article examines the effects of incorporating information and communication technologies in schools in terms of distributive justice. To do so, four issues that are central to educational justice are discussed: scarcity of resources, the positional nature of education, peer effects, and biases in educational decision-making. The discussion exposes a complicated picture of possible benefits and challenges associated with incorporating data-rich technologies in education. While technology may potentially promote educational justice - by widening access to quality teaching, decreasing biases, and facilitating mixed ability classes - it also creates concerns, related to ensuring equal distribution of technology, preventing biases in educational data mining, and fostering the kind of social relations between students necessary for democratic equality. The article concludes that whether or not information and communication technologies will have a positive impact on educational justice depends, largely, on the way it is developed, designed, and implemented in schools."
The perceptions of the meaning and value of analytics in New Zealand higher education institutions,Analytics; Higher education; Perceived values; Challenges,LEARNING ANALYTICS; BIG DATA; CHALLENGES,"This article presents the current perceptions on the value of analytics and their possible contribution to the higher education sector in New Zealand. Seven out of eight research-intensive public universities in New Zealand took part in the study. Participants included senior management and those who have some role associated with decision-making within higher education (N = 82). The study found inconsistent understanding of the meaning of analytics across participants. In particular, three forms of perceptions of analytics were identified: structural; functional and structural-functional. It was evident that some participants viewed analytics in its structural elements such as statistics, metrics, trends, numbers, graph, and any relevant information/data to enhance better decision-making, whereas other participants perceived the notion of analytics in terms of functional aspect; as means to an end, a process to use the data to gain insights and taking action on complex problems, yet a third group viewed analytics from both structural-functional perspectives. These kinds of perceptions have to a larger extent influenced participants' views on the value of analytics in shaping policy and practice. Also, literature has addressed a number of possible challenges associated with the large-scale institutional implementation of analytics. These challenges were: difficulties in extracting data from multiple databases, maintaining data quality, ethical and privacy issues, and lack of professional development opportunities. This article aims to broadly contribute to a better understanding of current perception and value of analytics in higher education, and in particular within the New Zealand context."
Big data and the measurement of public organizations' performance and efficiency: The state-of-the-art,Big data; efficiency analysis; learning analytics; performance analysis; public sector performance,SOCIAL MEDIA USE; LOCAL-GOVERNMENTS; EMPIRICAL-ANALYSIS; ADOPTION; CHALLENGES; MANAGEMENT; POLICY; USAGE; COMPETITION; INNOVATION,"The increasing availability of statistical data raises opportunities for big' data and learning analytics. Here, we review the academic literature and research relating to the use of big data analytics in the public sector, and its contribution to public organizations' performance and efficiency. We outline the advantages as well as the limitations of using big data in public sector organizations and identify research gaps in recent studies and interesting areas for future research."
Give Me a Customizable Dashboard: Personalized Learning Analytics Dashboards in Higher Education,Learning analytics; Higher education; Student attitudes; Student dashboards; Big data,PERCEIVED ACADEMIC CONTROL; STUDENTS,"With the increased capability of learning analytics in higher education, more institutions are developing or implementing student dashboards. Despite the emergence of dashboards as an easy way to present data to students, students have had limited involvement in the dashboard development process. As part of a larger program of research examining student and academic perceptions of learning analytics, we report here on work in progress exploring student perceptions of dashboards and student preferences for dashboard features. First, we present findings on higher education students' attitudes towards learning analytic dashboards resulting from four focus groups (N = 41). Thematic analysis of the focus group transcripts identified five key themes relating to dashboards: 'provide everyone with the same learning opportunities', 'to compare or not to compare', 'dashboard privacy', 'automate alerts' and 'make it meaningful-give me a customizable dashboard'. Next we present findings from a content analysis of students' drawings of dashboards demonstrating that students are interested in features that support learning opportunities, provide comparisons to peers and are meaningful to the student. Finally, we present preliminary findings from a survey of higher education students, reinforcing students' desire to choose whether to have a dashboard and to be able to customize their dashboards. These findings highlight the potential for providing students with some level of control over learning analytics as a means to increasing self-regulated learning and academic achievement. Future research directions aimed at better understanding students emotional and behavioral responses to learning analytics feedback on dashboards and alerts are outlined."
Using Data to Understand How to Better Design Adaptive Learning,Adaptive learning; Personalized learning; Learning analytics; Data visualization,SYSTEM; ANALYTICS; STYLES,"There is much enthusiasm in higher education about the benefits of adaptive learning and using big data to investigate learning processes to make data-informed educational decisions. The benefits of adaptive learning to achieve personalized learning are obvious. Yet, there lacks evidence-based research to understand how data such as user behavior patterns can be used to design effective adaptive learning systems. The purpose of this study, therefore, is to investigate what behavior patterns learners with different characteristics demonstrate when they interact with an adaptive learning environment. Incoming 1st-year students in a pharmacy professional degree program engaged in an adaptive learning intervention that aimed to provide remedial instruction to better prepare these professional students before they began their formal degree program. We analyzed the participants' behavior patterns through the usage data to understand how they used the adaptive system based upon their needs and interests. Using both statistical analyses and data visualization techniques, this study found: (1) apart from learners' cognitive ability, it is important to consider affective factors such as motivation in adaptive learning, (2) lack of alignment among various components in an adaptive system can impact how learners accessed the system and, more importantly, their performance, and (3) visualizations can reveal interesting findings that can be missed otherwise. Such research should provide much needed empirical evidences and useful insights about how the analytics can inform the effective designs of adaptive learning."
nStudy: A System for Researching Information Problem Solving,Information problem solving; Trace data; Big data; Online learning,,"A bottleneck in gathering big data about learning is instrumentation designed to record data about processes students use to learn and information on which those processes operate. The software system nStudy fills this gap. nStudy is an extension to the Chrome web browser plus a server side database for logged trace data plus peripheral modules that analyze trace data and assemble web pages as learning analytics. Students can use nStudy anywhere they connect to the internet. Every event related to creating, modifying, reviewing, linking and organizing information artifacts is logged in fine grain with a time stamp. These data fully trace information students operate on and how they operate on it. Ambient big data about studying gathered au naturel can be tailored by configuring several of nStudy's features. Thus the system can be used to gather data across a wide range lab studies and field trials designed to test a range of models and theories."
Inferring Learning from Big Data: The Importance of a Transdisciplinary and Multidimensional Approach,Learning analytics; Inference; Predictive modelling; Transdisciplinarity,OBJECTIVITY; ILLUSIONS; SCIENCES,"The use of big data in higher education has evolved rapidly with a focus on the practical application of new tools and methods for supporting learning. In this paper, we depart from the core emphasis on application and delve into a mostly neglected aspect of the big data conversation in higher education. Drawing on developments in cognate disciplines, we analyse the inherent difficulties in inferring the complex phenomenon that is learning from big datasets. This forms the basis of a discussion about the possibilities for systematic collaboration across different paradigms and disciplinary backgrounds in interpreting big data for enhancing learning. The aim of this paper is to provide the foundation for a research agenda, where differing conceptualisations of learning become a strength in interpreting patterns in big datasets, rather than a point of contention."
Disaster Recovery Site Evaluations and Selections for Information Systems of Academic Big Data,big data; disaster recovery (DR); site selection; DEMATEL-based network process (DNP); VIsekriterijumsko KOmpromisno Rangiranje (VIKOR); multiple criteria decision making (MCDM),BUSINESS CONTINUITY MANAGEMENT; LEARNING ANALYTICS; THRESHOLD VALUE; DELPHI METHOD; DEMATEL; MODEL; TECHNOLOGIES; FRAMEWORK; SCIENCE; VIKOR,"The most dramatic factor shaping the future of higher education is Big Data and analytics. In the Big Data era, the explosive growth of massive data manipulations imposes a heavy burden on computation, storage, and communication in data centers. Increasing uncertainties in information system availability have become a daily serious problem. An appropriate evaluation and selection of the right information system disaster recovery (DR) site can ensure business continuity and investment optimization. However, most academic institutes always neglect the importance of DR. Not to mention the DR sites in the era of Big Data. Existing research results do not evaluate or select DR sites in general or those for academic Big Data applications in particular. Therefore, this research aims to establish an analytic framework for evaluating, selecting DR sites for academic Big Data. The proposed analytic framework is consisting of the Decision-Making Trial and Evaluation Laboratory (DEMATEL), DEMATEL-based network process (DNP) and VIsekriterijumsko KOmpromisno Rangiranje (VIKOR) methods. An empirical study based on a real Big Data DR application of an Asian high-performance computer center's evaluation and selection of DR sites for academic Big Data is used to illustrate the feasibility of the proposed framework. The analytic results can serve as a foundation for information technology administrators' strategies to reduce the performance gaps of a DR site for Big Data manipulations in general, and academic Big Data manipulations in special."
Learning analytics as assemblage: Criticality and contingency in online education,Learning analytics; big data; assemblage theory; online learning; critical education; higher education,,"Recently, the possibilities for leveraging big data in research and pedagogy have given rise to the growing field of learning analytics in online education. While much of this work has focused on quantitative metrics, some have called for critical perspectives that interrogate such data as an interplay between technical infrastructures and contingent social practices. Following such calls, this article conceptualizes learning analytics as an assemblage of technical, designed, and sociocognitive dimensions. Drawing on DeLanda's articulation of assemblage theory, we examine the ways online learning unfolds within and across these scales by using illustrative quantitative and qualitative data-click-data, user-generated content, and student interviews-from three online higher education courses. We consider how insights generated from such a stance might contribute to critical perspectives on how power circulates in online learning environments-a framework we call critical learning analytics. We conclude by offering some possibilities for which such a framework might be put to use-not only to map learning analytics as assemblage, but also to imagine how they might be assembled otherwise to promote more ethical instruction and more equitable student flourishing."
Mining Individual Learning Topics in Course Reviews Based on Author Topic Model,Author Topic Mining; Education Big Data; Learner Analytics; Massive Open Online Courses (MOOC),,"Nowadays, Massive Open Online Courses (MOOC) has obtained a rapid development and drawn much attention from the areas of learning analytics and artificial intelligence. There are lots of unstructured data being generated in online reviews area. The learning behavioral data become more and more diverse, and they prompt the emergence of big data in education. To mine useful information from these data, we need to use educational data mining and learning analysis technique to study the learning feelings and discussed topics among learners. This paper aims to mine and analyze topic information hidden in the unstructured reviews data in MOOC, a novel author topic model based on an unsupervised learning idea is proposed to extract learning topics for the each learner. According to the experimental results, we will analyze and focuses of interests of learners, which facilitates further personalized course recommendation and improve the quality of online courses."
A generic model for the context-aware representation and federation of educational datasets: Experience from the dataTEL challenge,Knowledge modelling; Context metadata; Knowledge management; Learning analytics,ANALYTICS; SYSTEM,"Research on online interactions during a learning situation to better understand users' practices and to provide them with quality-oriented features, resources and services is attracting a large community. As a result, the interest for sharing educational data sets that translate the interactions of users with e-learning systems has become a hot topic today. However, the current systems aggregating social and usage data about their users suffer from a series of weaknesses. In particular, they lack a common information model that would allow for exchanges of interaction data at a large scale. To tackle this issue, we propose in this paper a generic model able to federate heterogeneous context metadata and to facilitate their share and reuse. This framework has been successfully applied to several data sets provided by the research community, and thus gives access to a big data set that could help researchers to increase efficiency of existing learning analytics technics, and promote research and development of new algorithms and services on top of these data."
Disrupting and democratising higher education provision or entrenching academic elitism: towards a model of MOOCs adoption at African universities,MOOCs; Disruptive innovation theory; Democratisation; Academic elitism,,"Challenges of broadening access, escalating cost, maintaining desirable quality and enhancing meaningful learning experiences in African higher education (HE) have spurred debates on how to restructure higher education delivery to meet the diverse needs of heterogeneous learners and adapt pedagogical models to the educational realities of low-income African countries. In view of these complexities, Massive Open Online Courses (MOOCs) have been advanced by Western Consortia, universities and online platform providers as panaceas for disrupting/transforming existing education models African universities. MOOCs have been touted as disruptive innovations with the potential to create new niche markets for HE courses, disrupt traditional models of instruction and content delivery and create new revenue streams for higher education. Yet academic elitism which manifests in the exclusive selection of top American universities to develop, host and deliver MOOCs, MOOC providers' use of university brand and reputation as benchmarks for charging recruitment fees on headhunters recruiting MOOC graduates and their complex business models involving the sale of students' big data (e.g. learning analytics) for profit seem to be inconsistent with claims about philanthropic and egalitarian drive of MOOCs. Drawing on disruptive innovation theory and a review of mainstream literature on MOOCs adoption in American and African tertiary sectors, this study argues that behind the MOOC rhetoric of disrupting and democratizing higher education lies the projection of top academic brands on the marketing pedestal, financial piggybacking on the hype and politics of academic exclusion."
The Structural Consequences of Big Data-Driven Education,big data; personalized learning; competency-based education; smart tutors; learning analytics; MOOCs,LEARNING ANALYTICS,"Educators and commenters who evaluate big data-driven learning environments focus on specific questions: whether automated education platforms improve learning outcomes, invade student privacy, and promote equality. This article puts aside separate unresolvedand perhaps unresolvableissues regarding the concrete effects of specific technologies. It instead examines how big data-driven tools alter the structure of schools' pedagogical decision-making, and, in doing so, change fundamental aspects of America's education enterprise. Technological mediation and data-driven decision-making have a particularly significant impact in learning environments because the education process primarily consists of dynamic information exchange. In this overview, I highlight three significant structural shifts that accompany school reliance on data-driven instructional platforms that perform core school functions: teaching, assessment, and credentialing. First, virtual learning environments create information technology infrastructures featuring constant data collection, continuous algorithmic assessment, and possibly infinite record retention. This undermines the traditional intellectual privacy and safety of classrooms. Second, these systems displace pedagogical decision-making from educators serving public interests to private, often for-profit, technology providers. They constrain teachers' academic autonomy, obscure student evaluation, and reduce parents' and students' ability to participate or challenge education decision-making. Third, big data-driven tools define what counts as education by mapping the concepts, creating the content, determining the metrics, and setting desired learning outcomes of instruction. These shifts cede important decision-making to private entities without public scrutiny or pedagogical examination. In contrast to the public and heated debates that accompany textbook choices, schools often adopt education technologies ad hoc. Given education's crucial impact on individual and collective success, educators and policymakers must consider the implications of data-driven education proactively and explicitly."
Beyond engagement analytics: which online mixed-data factors predict student learning outcomes?,ICT in higher education; Moodle engagement analytics; Big data analytics; Online undergraduate business course; Student learning performance; Grades,,"This mixed-method study focuses on online learning analytics, a research area of importance. Several important student attributes and their online activities are examined to identify what seems to work best to predict higher grades. The purpose is to explore the relationships between student grade and key learning engagement factors using a large sample from an online undergraduate business course at an accredited American university (n = 228). Recent studies have discounted the ability to predict student learning outcomes from big data analytics but a few significant indicators have been found by some researchers. Current studies tend to use quantitative factors in learning analytics to forecast outcomes. This study extends that work by testing the common quantitative predictors of learning outcome, but qualitative data is also examined to triangulate the evidence. Pre and post testing of information technology understanding is done at the beginning of the course. First quantitative data is collected, and depending on the hypothesis test results, qualitative data is collected and analyzed with text analytics to uncover patterns. Moodle engagement analytics indicators are tested as predictors in the model. Data is also taken from the Moodle system logs. Qualitative data is collected from student reflection essays. The result was a significant General Linear Model with four online interaction predictors that captured 77.5 % of grade variance in an undergraduate business course."
